step,actic loss,critic loss,average distance,time
4230,-1.3574,1.0604,5.6713,0min2sec
4240,-1.3543,1.0582,5.6677,0min2sec
4250,-1.3512,1.0559,5.6640,0min2sec
4260,-1.3482,1.0537,5.6605,0min2sec
4270,-1.3451,1.0515,5.6569,0min2sec
4280,-1.3421,1.0493,5.6533,0min2sec
4290,-1.3391,1.0471,5.6498,0min2sec
4300,-1.3361,1.0449,5.6463,0min2sec
4310,-1.3332,1.0427,5.6427,0min2sec
4320,-1.3302,1.0405,5.6392,0min2sec
4330,-1.3273,1.0383,5.6356,0min2sec
4340,-1.3243,1.0361,5.6321,0min2sec
4350,-1.3214,1.0340,5.6286,0min2sec
4360,-1.3186,1.0318,5.6252,0min2sec
4370,-1.3156,1.0297,5.6218,0min2sec
4380,-1.3128,1.0276,5.6183,0min2sec
4390,-1.3100,1.0255,5.6149,0min2sec
4400,-1.3072,1.0234,5.6116,0min2sec
4410,-1.3044,1.0213,5.6082,0min2sec
4420,-1.3016,1.0192,5.6048,0min2sec
4430,-1.2988,1.0171,5.6014,0min2sec
4440,-1.2960,1.0151,5.5981,0min2sec
4450,-1.2932,1.0130,5.5947,0min2sec
4460,-1.2904,1.0109,5.5914,0min1sec
4470,-1.2877,1.0089,5.5881,0min1sec
4480,-1.2850,1.0069,5.5848,0min1sec
4490,-1.2822,1.0048,5.5815,0min2sec
4500,-1.2794,1.0028,5.5783,0min2sec
4510,-1.2767,1.0008,5.5751,0min2sec
4520,-1.2740,0.9988,5.5718,0min2sec
4530,-1.2713,0.9968,5.5686,0min2sec
4540,-1.2687,0.9949,5.5654,0min2sec
4550,-1.2660,0.9929,5.5622,0min2sec
4560,-1.2633,0.9909,5.5590,0min2sec
4570,-1.2607,0.9890,5.5559,0min2sec
4580,-1.2581,0.9871,5.5527,0min2sec
4590,-1.2554,0.9852,5.5496,0min2sec
4600,-1.2529,0.9832,5.5465,0min2sec
4610,-1.2503,0.9813,5.5434,0min2sec
4620,-1.2477,0.9794,5.5403,0min2sec
4630,-1.2452,0.9775,5.5372,0min2sec
4640,-1.2425,0.9756,5.5341,0min2sec
4650,-1.2399,0.9737,5.5310,0min2sec
4660,-1.2374,0.9718,5.5280,0min2sec
4670,-1.2349,0.9699,5.5249,0min2sec
4680,-1.2323,0.9681,5.5219,0min2sec
4690,-1.2298,0.9662,5.5188,0min2sec
4700,-1.2273,0.9643,5.5158,0min2sec
4710,-1.2248,0.9625,5.5129,0min2sec
4720,-1.2223,0.9606,5.5099,0min2sec
4730,-1.2198,0.9588,5.5069,0min2sec
4740,-1.2173,0.9570,5.5039,0min2sec
4750,-1.2149,0.9552,5.5010,0min2sec
4760,-1.2124,0.9534,5.4981,0min2sec
4770,-1.2101,0.9516,5.4952,0min2sec
4780,-1.2075,0.9498,5.4923,0min2sec
4790,-1.2052,0.9480,5.4894,0min2sec
4800,-1.2027,0.9462,5.4865,0min2sec
4810,-1.2003,0.9445,5.4836,0min2sec
4820,-1.1979,0.9427,5.4807,0min2sec
4830,-1.1956,0.9409,5.4779,0min2sec
4840,-1.1932,0.9392,5.4750,0min2sec
4850,-1.1909,0.9374,5.4722,0min2sec
4860,-1.1885,0.9357,5.4694,0min2sec
4870,-1.1862,0.9339,5.4665,0min2sec
4880,-1.1839,0.9322,5.4637,0min2sec
4890,-1.1816,0.9305,5.4609,0min2sec
4900,-1.1793,0.9288,5.4581,0min2sec
4910,-1.1771,0.9271,5.4553,0min2sec
4920,-1.1748,0.9254,5.4526,0min2sec
4930,-1.1725,0.9237,5.4499,0min2sec
4940,-1.1702,0.9220,5.4471,0min2sec
4950,-1.1679,0.9203,5.4444,0min2sec
4960,-1.1657,0.9186,5.4417,0min2sec
4970,-1.1635,0.9170,5.4390,0min2sec
4980,-1.1613,0.9153,5.4364,0min2sec
4990,-1.1591,0.9137,5.4337,0min2sec
5000,-1.1569,0.9120,5.4311,0min2sec
5010,-1.1547,0.9104,5.4284,0min1sec
5020,-1.1525,0.9087,5.4258,0min1sec
5030,-1.1503,0.9071,5.4232,0min1sec
5040,-1.1482,0.9055,5.4206,0min2sec
5050,-1.1460,0.9039,5.4180,0min2sec
5060,-1.1439,0.9023,5.4154,0min2sec
5070,-1.1417,0.9007,5.4128,0min2sec
5080,-1.1396,0.8991,5.4102,0min2sec
5090,-1.1374,0.8975,5.4077,0min2sec
5100,-1.1353,0.8959,5.4051,0min2sec
5110,-1.1332,0.8944,5.4026,0min2sec
5120,-1.1310,0.8928,5.4001,0min2sec
5130,-1.1289,0.8912,5.3975,0min2sec
5140,-1.1269,0.8897,5.3950,0min2sec
